Genre,Average Number of Episodes,Sum Number of Episodes,Average Rating,Sum Rating,Average Number of Members,Sum Number of Members
genre_Drama,10.780352644836272,21399.0,6.9772180070814365,13793.96,28900.09771825397,58262597
genre_Romance,11.450831024930748,16535.0,6.999053583855254,10057.64,44852.22267759563,65663654
genre_School,12.55404255319149,14751.0,6.972049319727892,8199.130000000001,45086.54508196721,55005585
genre_Supernatural,11.175769612711022,11254.0,7.000379620379619,7007.379999999999,54973.96721311475,57008004
genre_Action,13.131654676258993,36506.0,6.787149566473989,18786.83,33570.517750439365,95508123
genre_Adventure,17.486135181975737,40358.0,6.742538860103626,15615.72,19389.737649063034,45527104
genre_Fantasy,13.501777777777777,30379.0,6.673670829616414,14962.37,24798.88739714162,57260631
genre_Magic,17.28421052631579,13136.0,6.805890227576975,5084.0,27192.080976863752,21155439
genre_Military,9.613908872901678,4009.0,7.004903846153846,2914.04,28699.94600938967,12226177
genre_Shounen,17.94401429422275,30128.0,7.058068924539513,11878.73,31627.803623611922,54115172
genre_Comedy,17.17014196983141,77403.0,6.62240218579235,30297.489999999998,23035.792895586652,107001258
genre_Historical,18.096080910240204,14314.0,6.746215538847117,5383.48,14160.093052109181,11413035
genre_Parody,12.135678391959798,4830.0,6.494937965260546,2617.46,19523.110294117647,7965429
genre_Samurai,10.73103448275862,1556.0,6.853835616438356,1000.6599999999999,23955.472972972973,3545410
genre_Sci-Fi,13.487229862475441,27460.0,6.701488212180746,13644.23,21695.044444444444,44908742
genre_Thriller,10.290697674418604,885.0,7.38232558139535,634.8800000000001,116477.35632183908,10133530
genre_Sports,17.24482109227872,9157.0,6.777973733583489,3612.66,13630.281767955801,7401243
genre_Super Power,15.715883668903803,7025.0,6.906784922394679,3114.96,49044.716129032255,22805793
genre_Space,11.89627659574468,4473.0,6.68339522546419,2519.64,13249.824146981628,5048183
genre_Slice of Life,18.675105485232066,22130.0,6.730498338870432,8103.52,26220.09262295082,31988513
genre_Mecha,14.729323308270677,13713.0,6.644790096878364,6173.01,15872.01377118644,14983181
genre_Music,4.2105263157894735,3520.0,5.923016627078385,4987.18,7023.272093023255,6040014
genre_Mystery,10.765432098765432,5232.0,7.232412371134021,3507.7200000000003,54298.78383838384,26877898
genre_Seinen,9.453007518796992,5029.0,6.966353383458647,3706.1,42372.00548446069,23177487
genre_Martial Arts,17.108527131782946,4414.0,6.819356060606061,1800.31,26814.222641509434,7105769
genre_Vampire,9.188118811881187,928.0,6.884599999999999,688.4599999999999,62762.80392156863,6401806
genre_Shoujo,17.923728813559322,10575.0,6.87597643097643,4084.3299999999995,22307.53897180763,13451446
genre_Horror,8.81542699724518,3200.0,6.426850828729282,2326.52,34088.15176151761,12578528
genre_Police,9.502564102564103,1853.0,7.122051282051282,1388.8,24838.97461928934,4893278
genre_Psychological,8.466960352422907,1922.0,7.010398230088495,1584.35,75159.9694323144,17211633
genre_Demons,10.789655172413793,3129.0,6.676306620209059,1916.1,32406.809523809523,9527602
genre_Ecchi,7.677265500794912,4829.0,6.6666401273885345,4186.65,39268.215070643644,25013853
genre_Josei,9.826923076923077,511.0,7.443076923076924,387.04,40996.12962962963,2213791
genre_Shounen Ai,6.5,416.0,6.961612903225807,431.62,21982.153846153848,1428840
genre_Game,22.057471264367816,3838.0,6.783333333333334,1200.65,37302.64640883978,6751779
genre_Dementia,1.9621848739495797,467.0,5.011680672268907,1192.78,7404.595833333334,1777103
genre_Harem,9.019169329073483,2823.0,6.965686900958466,2180.2599999999998,62769.17350157729,19897828
genre_Cars,18.366197183098592,1304.0,6.4686111111111115,465.74,7133.861111111111,513638
genre_Kids,18.425272610647852,28725.0,6.11322903629537,9768.94,1845.5090118085768,2969424
genre_Shoujo Ai,9.351851851851851,505.0,6.978148148148148,376.82,34870.36363636364,1917870
genre_Hentai,2.1580381471389645,2376.0,6.181279788172992,7003.389999999999,2655.8457493426818,3030320
genre_Yaoi,1.7837837837837838,66.0,6.433684210526315,244.47999999999996,13927.615384615385,543177
genre_Yuri,3.024390243902439,124.0,6.088536585365854,249.63000000000002,4444.190476190476,186656
